PR Number,Author,Labels,PR Link
1052,aayanrahman,submission,https://github.com/hackclub/OnBoard/pull/1052
1051,lonaslee,submission,https://github.com/hackclub/OnBoard/pull/1051
1050,bochk0,submission,https://github.com/hackclub/OnBoard/pull/1050
1048,Nv7-GitHub,submission,https://github.com/hackclub/OnBoard/pull/1048
1045,GauthamRNair,submission,https://github.com/hackclub/OnBoard/pull/1045
1044,JoKhannn,submission,https://github.com/hackclub/OnBoard/pull/1044
1039,atomicf32,submission,https://github.com/hackclub/OnBoard/pull/1039
1037,atomicf32,submission,https://github.com/hackclub/OnBoard/pull/1037
1036,shiva233,submission,https://github.com/hackclub/OnBoard/pull/1036
1031,Mochi-iOS,submission,https://github.com/hackclub/OnBoard/pull/1031
1029,utvalde,submission,https://github.com/hackclub/OnBoard/pull/1029
1028,second2falcon,submission,https://github.com/hackclub/OnBoard/pull/1028
1027,eminentquasar34,submission,https://github.com/hackclub/OnBoard/pull/1027
1025,basicbadass,submission,https://github.com/hackclub/OnBoard/pull/1025
1024,pratyushV-l,submission,https://github.com/hackclub/OnBoard/pull/1024
1023,hyperficial,submission,https://github.com/hackclub/OnBoard/pull/1023
1022,RohitPandey1729,submission,https://github.com/hackclub/OnBoard/pull/1022
1021,Kipp-ie,submission,https://github.com/hackclub/OnBoard/pull/1021
1019,Bonzai-Dev,submission,https://github.com/hackclub/OnBoard/pull/1019
1017,Aaditya-Aniraj,submission,https://github.com/hackclub/OnBoard/pull/1017
1016,astarryknight,submission,https://github.com/hackclub/OnBoard/pull/1016
1015,28add11,submission,https://github.com/hackclub/OnBoard/pull/1015
1013,Patcybermind,submission,https://github.com/hackclub/OnBoard/pull/1013
1012,MohammedMMC,submission,https://github.com/hackclub/OnBoard/pull/1012
1011,fatuma-tahalil,submission,https://github.com/hackclub/OnBoard/pull/1011
1010,Gregor-Davies,submission,https://github.com/hackclub/OnBoard/pull/1010
1009,cheeseroll23,submission,https://github.com/hackclub/OnBoard/pull/1009
1008,pizzalover125,submission,https://github.com/hackclub/OnBoard/pull/1008
1007,manifhlow,submission,https://github.com/hackclub/OnBoard/pull/1007
1006,eyestare,submission,https://github.com/hackclub/OnBoard/pull/1006
1004,sinarck,submission,https://github.com/hackclub/OnBoard/pull/1004
1003,Mirrrek,submission,https://github.com/hackclub/OnBoard/pull/1003
1002,LimesKey,"submission, dev, invalid",https://github.com/hackclub/OnBoard/pull/1002
1001,ghost,submission,https://github.com/hackclub/OnBoard/pull/1001
1000,akulsaju,submission,https://github.com/hackclub/OnBoard/pull/1000
999,ZachNegin,submission,https://github.com/hackclub/OnBoard/pull/999
998,arkajain27,submission,https://github.com/hackclub/OnBoard/pull/998
997,AdamTuraj,submission,https://github.com/hackclub/OnBoard/pull/997
996,jberry-max,submission,https://github.com/hackclub/OnBoard/pull/996
995,souptik-samanta,submission,https://github.com/hackclub/OnBoard/pull/995
994,ghost,submission,https://github.com/hackclub/OnBoard/pull/994
993,DefinetlyNotAI,submission,https://github.com/hackclub/OnBoard/pull/993
992,eesazahed,submission,https://github.com/hackclub/OnBoard/pull/992
991,aGuyWhoHasGithub,submission,https://github.com/hackclub/OnBoard/pull/991
990,ghost,submission,https://github.com/hackclub/OnBoard/pull/990
989,roland189,submission,https://github.com/hackclub/OnBoard/pull/989
988,itskme,submission,https://github.com/hackclub/OnBoard/pull/988
985,copybara1,submission,https://github.com/hackclub/OnBoard/pull/985
984,gabrieldrl,submission,https://github.com/hackclub/OnBoard/pull/984
983,xriiitox,submission,https://github.com/hackclub/OnBoard/pull/983
982,eesazahed,submission,https://github.com/hackclub/OnBoard/pull/982
980,ANSHUMANDOCX,submission,https://github.com/hackclub/OnBoard/pull/980
979,ANSHUMANDOCX,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/979
977,joennematti,submission,https://github.com/hackclub/OnBoard/pull/977
975,manifhlow,submission,https://github.com/hackclub/OnBoard/pull/975
974,alx-alexpark,submission,https://github.com/hackclub/OnBoard/pull/974
973,astarryknight,submission,https://github.com/hackclub/OnBoard/pull/973
972,krishnans2006,submission,https://github.com/hackclub/OnBoard/pull/972
971,Yash00241,submission,https://github.com/hackclub/OnBoard/pull/971
970,kramerbastian,submission,https://github.com/hackclub/OnBoard/pull/970
968,usedgenes,submission,https://github.com/hackclub/OnBoard/pull/968
965,1millon1,submission,https://github.com/hackclub/OnBoard/pull/965
964,JimmmithyOrSomething,submission,https://github.com/hackclub/OnBoard/pull/964
963,ANSHUMANDOCX,submission,https://github.com/hackclub/OnBoard/pull/963
962,Yash00241,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/962
960,dfedor2008,submission,https://github.com/hackclub/OnBoard/pull/960
959,Mirrrek,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/959
958,copybara1,submission,https://github.com/hackclub/OnBoard/pull/958
957,Yash00241,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/957
956,Yash00241,submission,https://github.com/hackclub/OnBoard/pull/956
955,mattsoh,submission,https://github.com/hackclub/OnBoard/pull/955
954,souptik-samanta,submission,https://github.com/hackclub/OnBoard/pull/954
953,BuildNCode1,submission,https://github.com/hackclub/OnBoard/pull/953
952,dylanjryang,submission,https://github.com/hackclub/OnBoard/pull/952
951,WilliamBSITT,submission,https://github.com/hackclub/OnBoard/pull/951
948,anirudh12032008,submission,https://github.com/hackclub/OnBoard/pull/948
947,bigbainc,submission,https://github.com/hackclub/OnBoard/pull/947
946,nicolandu,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/946
944,RohitPandey1729,submission,https://github.com/hackclub/OnBoard/pull/944
942,Rand0m0User1,submission,https://github.com/hackclub/OnBoard/pull/942
941,AdyaS2010,submission,https://github.com/hackclub/OnBoard/pull/941
940,Peepesucksstiks,submission,https://github.com/hackclub/OnBoard/pull/940
939,LimesKey,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/939
938,felixm-byte,submission,https://github.com/hackclub/OnBoard/pull/938
937,arjundeshpande08,submission,https://github.com/hackclub/OnBoard/pull/937
936,eyestare,submission,https://github.com/hackclub/OnBoard/pull/936
935,ghost,submission,https://github.com/hackclub/OnBoard/pull/935
932,Rand0m0User1,submission,https://github.com/hackclub/OnBoard/pull/932
931,v1peridae,submission,https://github.com/hackclub/OnBoard/pull/931
929,Kerman-ap,submission,https://github.com/hackclub/OnBoard/pull/929
927,MadRobin13,submission,https://github.com/hackclub/OnBoard/pull/927
926,scarlettekk,submission,https://github.com/hackclub/OnBoard/pull/926
925,maxstellar,submission,https://github.com/hackclub/OnBoard/pull/925
924,k754a,submission,https://github.com/hackclub/OnBoard/pull/924
921,ouo314,submission,https://github.com/hackclub/OnBoard/pull/921
920,ghost,submission,https://github.com/hackclub/OnBoard/pull/920
919,Pegoku,submission,https://github.com/hackclub/OnBoard/pull/919
918,Aaryan-N,submission,https://github.com/hackclub/OnBoard/pull/918
917,Lazylllama,submission,https://github.com/hackclub/OnBoard/pull/917
916,yashsethu,submission,https://github.com/hackclub/OnBoard/pull/916
915,shim-sham,submission,https://github.com/hackclub/OnBoard/pull/915
914,TheTwoBoom,submission,https://github.com/hackclub/OnBoard/pull/914
913,thelegendofmario,submission,https://github.com/hackclub/OnBoard/pull/913
910,amino47,submission,https://github.com/hackclub/OnBoard/pull/910
909,ghost,submission,https://github.com/hackclub/OnBoard/pull/909
908,karmanyaahm,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/908
907,karmanyaahm,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/907
906,gopaldotcom,submission,https://github.com/hackclub/OnBoard/pull/906
903,alphabit117,submission,https://github.com/hackclub/OnBoard/pull/903
902,uniquepersun,submission,https://github.com/hackclub/OnBoard/pull/902
901,Qwertyuiop176g,submission,https://github.com/hackclub/OnBoard/pull/901
895,shrysjain,submission,https://github.com/hackclub/OnBoard/pull/895
893,RobertoEchCCHS,submission,https://github.com/hackclub/OnBoard/pull/893
892,MrPurpleSocks,submission,https://github.com/hackclub/OnBoard/pull/892
891,Whackalenso,submission,https://github.com/hackclub/OnBoard/pull/891
890,n0x1,submission,https://github.com/hackclub/OnBoard/pull/890
889,meronemo,submission,https://github.com/hackclub/OnBoard/pull/889
888,NoozAbooz,submission,https://github.com/hackclub/OnBoard/pull/888
885,abelanagy,submission,https://github.com/hackclub/OnBoard/pull/885
884,clavinohou,submission,https://github.com/hackclub/OnBoard/pull/884
882,Ssmidge,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/882
881,OtterCodes101,submission,https://github.com/hackclub/OnBoard/pull/881
880,Sher110106,submission,https://github.com/hackclub/OnBoard/pull/880
879,JPLabsystems,submission,https://github.com/hackclub/OnBoard/pull/879
877,eddyzow,submission,https://github.com/hackclub/OnBoard/pull/877
876,abcKFC68,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/876
875,poone123,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/875
874,Beenana02,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/874
873,themagicfrog,submission,https://github.com/hackclub/OnBoard/pull/873
872,aaronsfunstuff,submission,https://github.com/hackclub/OnBoard/pull/872
871,Jark5455,submission,https://github.com/hackclub/OnBoard/pull/871
870,noah-carmichael,submission,https://github.com/hackclub/OnBoard/pull/870
869,aryavsaigal,submission,https://github.com/hackclub/OnBoard/pull/869
868,kattschan,submission,https://github.com/hackclub/OnBoard/pull/868
867,fatpotato317,submission,https://github.com/hackclub/OnBoard/pull/867
864,ShahkerTHD,submission,https://github.com/hackclub/OnBoard/pull/864
863,VM-fll,"submission, stalled",https://github.com/hackclub/OnBoard/pull/863
861,usedgenes,submission,https://github.com/hackclub/OnBoard/pull/861
859,wllm-lhy,submission,https://github.com/hackclub/OnBoard/pull/859
858,Somebud0180,submission,https://github.com/hackclub/OnBoard/pull/858
857,snaeker58,submission,https://github.com/hackclub/OnBoard/pull/857
855,whatwareweb,submission,https://github.com/hackclub/OnBoard/pull/855
854,vintheruler1,submission,https://github.com/hackclub/OnBoard/pull/854
852,D99-1,submission,https://github.com/hackclub/OnBoard/pull/852
851,micsaujoh,submission,https://github.com/hackclub/OnBoard/pull/851
849,mjh316,submission,https://github.com/hackclub/OnBoard/pull/849
848,Aryankpoor,submission,https://github.com/hackclub/OnBoard/pull/848
847,Shibedev12,submission,https://github.com/hackclub/OnBoard/pull/847
846,arsoninstigator,submission,https://github.com/hackclub/OnBoard/pull/846
844,Dragon863,submission,https://github.com/hackclub/OnBoard/pull/844
842,matt-k-lin,submission,https://github.com/hackclub/OnBoard/pull/842
839,Ahnaf-nub,submission,https://github.com/hackclub/OnBoard/pull/839
837,Cral-Cactus,submission,https://github.com/hackclub/OnBoard/pull/837
836,achester88,submission,https://github.com/hackclub/OnBoard/pull/836
834,LimesKey,submission,https://github.com/hackclub/OnBoard/pull/834
833,Acidicts,submission,https://github.com/hackclub/OnBoard/pull/833
832,SaiGodavarthi,submission,https://github.com/hackclub/OnBoard/pull/832
830,LandonBayer,submission,https://github.com/hackclub/OnBoard/pull/830
829,rishabhm08,submission,https://github.com/hackclub/OnBoard/pull/829
827,sudo-Mystic,submission,https://github.com/hackclub/OnBoard/pull/827
826,AsgerFD,submission,https://github.com/hackclub/OnBoard/pull/826
825,nicolandu,submission,https://github.com/hackclub/OnBoard/pull/825
822,E-Krabs,submission,https://github.com/hackclub/OnBoard/pull/822
821,OrhanYigitDurmaz,submission,https://github.com/hackclub/OnBoard/pull/821
819,petersenmatthew,submission,https://github.com/hackclub/OnBoard/pull/819
818,LandonBayer,submission,https://github.com/hackclub/OnBoard/pull/818
815,Loewe111,submission,https://github.com/hackclub/OnBoard/pull/815
814,abcKFC68,submission,https://github.com/hackclub/OnBoard/pull/814
811,elinzhang507,submission,https://github.com/hackclub/OnBoard/pull/811
810,smartkid7799,submission,https://github.com/hackclub/OnBoard/pull/810
808,leowilkin,submission,https://github.com/hackclub/OnBoard/pull/808
805,NIKHIL2XD,submission,https://github.com/hackclub/OnBoard/pull/805
803,NIKHIL2XD,submission,https://github.com/hackclub/OnBoard/pull/803
802,Kate-Yi,submission,https://github.com/hackclub/OnBoard/pull/802
800,abhineetsingh2008,submission,https://github.com/hackclub/OnBoard/pull/800
799,dtnthuy,submission,https://github.com/hackclub/OnBoard/pull/799
796,techyporcupine,submission,https://github.com/hackclub/OnBoard/pull/796
794,Projachmann,submission,https://github.com/hackclub/OnBoard/pull/794
790,jaitegsingh,submission,https://github.com/hackclub/OnBoard/pull/790
787,MohitTiwariBytes,submission,https://github.com/hackclub/OnBoard/pull/787
786,nilaRam,submission,https://github.com/hackclub/OnBoard/pull/786
785,Cral-Cactus,submission,https://github.com/hackclub/OnBoard/pull/785
783,Icemaster-Eric,submission,https://github.com/hackclub/OnBoard/pull/783
780,Haxintosh,submission,https://github.com/hackclub/OnBoard/pull/780
779,mrcunning123,submission,https://github.com/hackclub/OnBoard/pull/779
778,Mirrrek,submission,https://github.com/hackclub/OnBoard/pull/778
777,jenniferZO,submission,https://github.com/hackclub/OnBoard/pull/777
772,usedgenes,submission,https://github.com/hackclub/OnBoard/pull/772
771,adityanaravane,submission,https://github.com/hackclub/OnBoard/pull/771
770,Glitch752,submission,https://github.com/hackclub/OnBoard/pull/770
768,makingmistakes,submission,https://github.com/hackclub/OnBoard/pull/768
767,awangran,submission,https://github.com/hackclub/OnBoard/pull/767
766,rajdeep-bhattacharjee,submission,https://github.com/hackclub/OnBoard/pull/766
763,TheNewsYorkTime,"submission, stalled",https://github.com/hackclub/OnBoard/pull/763
762,Beenana02,submission,https://github.com/hackclub/OnBoard/pull/762
760,B-Eddie,submission,https://github.com/hackclub/OnBoard/pull/760
759,ThePangel,submission,https://github.com/hackclub/OnBoard/pull/759
758,rohanpatelnew55,submission,https://github.com/hackclub/OnBoard/pull/758
752,krishnans2006,submission,https://github.com/hackclub/OnBoard/pull/752
749,KaranTKS,submission,https://github.com/hackclub/OnBoard/pull/749
747,Sreekar617,submission,https://github.com/hackclub/OnBoard/pull/747
744,anqueue,submission,https://github.com/hackclub/OnBoard/pull/744
743,ibhat2010,submission,https://github.com/hackclub/OnBoard/pull/743
741,second2falcon,submission,https://github.com/hackclub/OnBoard/pull/741
740,jk-aero,submission,https://github.com/hackclub/OnBoard/pull/740
738,Ssmidge,submission,https://github.com/hackclub/OnBoard/pull/738
737,falsonix,submission,https://github.com/hackclub/OnBoard/pull/737
736,RagavVijairaj,submission,https://github.com/hackclub/OnBoard/pull/736
733,Sidak08,submission,https://github.com/hackclub/OnBoard/pull/733
732,ghulammustafa06,submission,https://github.com/hackclub/OnBoard/pull/732
731,possiblyselena,submission,https://github.com/hackclub/OnBoard/pull/731
729,nerdwithcomputers,submission,https://github.com/hackclub/OnBoard/pull/729
727,ScapularSteam,submission,https://github.com/hackclub/OnBoard/pull/727
726,CyberBrainiac1,submission,https://github.com/hackclub/OnBoard/pull/726
725,Aradhya-Shaswat,submission,https://github.com/hackclub/OnBoard/pull/725
724,20SHA07,submission,https://github.com/hackclub/OnBoard/pull/724
723,ibhat2010,submission,https://github.com/hackclub/OnBoard/pull/723
720,ckeane26,submission,https://github.com/hackclub/OnBoard/pull/720
718,Somebud0180,submission,https://github.com/hackclub/OnBoard/pull/718
717,chardynamics,submission,https://github.com/hackclub/OnBoard/pull/717
716,CloudCake8,submission,https://github.com/hackclub/OnBoard/pull/716
709,Miner16,submission,https://github.com/hackclub/OnBoard/pull/709
708,GGGalang,submission,https://github.com/hackclub/OnBoard/pull/708
704,Nishit-Sharma,"submission, stalled",https://github.com/hackclub/OnBoard/pull/704
703,opott,submission,https://github.com/hackclub/OnBoard/pull/703
701,roboticspro1,submission,https://github.com/hackclub/OnBoard/pull/701
700,ercrice,submission,https://github.com/hackclub/OnBoard/pull/700
699,makingmistakes,submission,https://github.com/hackclub/OnBoard/pull/699
698,24c02,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/698
697,pmnlla,submission,https://github.com/hackclub/OnBoard/pull/697
696,chardynamics,submission,https://github.com/hackclub/OnBoard/pull/696
694,ercrice,submission,https://github.com/hackclub/OnBoard/pull/694
693,Adimac93,submission,https://github.com/hackclub/OnBoard/pull/693
692,yourcrocdev,submission,https://github.com/hackclub/OnBoard/pull/692
691,ArthusPVP,submission,https://github.com/hackclub/OnBoard/pull/691
690,chardynamics,submission,https://github.com/hackclub/OnBoard/pull/690
689,phthallo,submission,https://github.com/hackclub/OnBoard/pull/689
687,Monoverde888,submission,https://github.com/hackclub/OnBoard/pull/687
685,HildingL,submission,https://github.com/hackclub/OnBoard/pull/685
683,elberto22,submission,https://github.com/hackclub/OnBoard/pull/683
681,chaitanya44444,submission,https://github.com/hackclub/OnBoard/pull/681
679,Iamdiv7,submission,https://github.com/hackclub/OnBoard/pull/679
678,Ggkkhi,submission,https://github.com/hackclub/OnBoard/pull/678
677,dhitikarora,submission,https://github.com/hackclub/OnBoard/pull/677
676,Sh1vGupta,submission,https://github.com/hackclub/OnBoard/pull/676
674,AnthonyTran061004,submission,https://github.com/hackclub/OnBoard/pull/674
673,cdombro,submission,https://github.com/hackclub/OnBoard/pull/673
668,24c02,"submission, the trail",https://github.com/hackclub/OnBoard/pull/668
666,86Kiyarash,submission,https://github.com/hackclub/OnBoard/pull/666
664,Mikeymoo5,submission,https://github.com/hackclub/OnBoard/pull/664
661,dxataclub,submission,https://github.com/hackclub/OnBoard/pull/661
660,tnb24,submission,https://github.com/hackclub/OnBoard/pull/660
659,sahitid,submission,https://github.com/hackclub/OnBoard/pull/659
657,HirokiNariyoshi,submission,https://github.com/hackclub/OnBoard/pull/657
656,evan-gan,submission,https://github.com/hackclub/OnBoard/pull/656
655,konstantinosfragkoulis,submission,https://github.com/hackclub/OnBoard/pull/655
650,peterxn123,submission,https://github.com/hackclub/OnBoard/pull/650
648,kritarthabajpai,submission,https://github.com/hackclub/OnBoard/pull/648
647,DominicTYLau,submission,https://github.com/hackclub/OnBoard/pull/647
643,neildembla1,submission,https://github.com/hackclub/OnBoard/pull/643
642,andwoo14,submission,https://github.com/hackclub/OnBoard/pull/642
641,tofy-dev,submission,https://github.com/hackclub/OnBoard/pull/641
638,AstroGuy1,submission,https://github.com/hackclub/OnBoard/pull/638
636,NimitVijayvargee,submission,https://github.com/hackclub/OnBoard/pull/636
634,zeankundev,submission,https://github.com/hackclub/OnBoard/pull/634
633,akashsharmatech,submission,https://github.com/hackclub/OnBoard/pull/633
632,jedim101,submission,https://github.com/hackclub/OnBoard/pull/632
631,AlphaMeep,submission,https://github.com/hackclub/OnBoard/pull/631
628,se1yu,submission,https://github.com/hackclub/OnBoard/pull/628
627,vracton,"submission, the trail",https://github.com/hackclub/OnBoard/pull/627
626,reyanshsharma0,submission,https://github.com/hackclub/OnBoard/pull/626
621,hibasheikh2,submission,https://github.com/hackclub/OnBoard/pull/621
620,AdamTuraj,submission,https://github.com/hackclub/OnBoard/pull/620
618,sampoder,"submission, the trail",https://github.com/hackclub/OnBoard/pull/618
615,DevIos01,"submission, the trail",https://github.com/hackclub/OnBoard/pull/615
613,darth-taco-tmp,"submission, the trail",https://github.com/hackclub/OnBoard/pull/613
611,28jackiiee,"submission, the trail",https://github.com/hackclub/OnBoard/pull/611
610,46-HA,"submission, the trail",https://github.com/hackclub/OnBoard/pull/610
609,KaiPereira,submission,https://github.com/hackclub/OnBoard/pull/609
607,jpt1729,"submission, the trail",https://github.com/hackclub/OnBoard/pull/607
604,shdShadow,submission,https://github.com/hackclub/OnBoard/pull/604
603,ishbhirsingh,submission,https://github.com/hackclub/OnBoard/pull/603
601,NotARoomba,"submission, the trail",https://github.com/hackclub/OnBoard/pull/601
600,krishnenduhalder0,submission,https://github.com/hackclub/OnBoard/pull/600
598,CaitPrough,"submission, the trail",https://github.com/hackclub/OnBoard/pull/598
597,pkb-pmj,"submission, the trail",https://github.com/hackclub/OnBoard/pull/597
596,tinkeraudrey,submission,https://github.com/hackclub/OnBoard/pull/596
592,Nat3z,submission,https://github.com/hackclub/OnBoard/pull/592
588,Shwetha1002,"submission, the trail",https://github.com/hackclub/OnBoard/pull/588
587,iUnstable0,"submission, no hcb needed, the trail",https://github.com/hackclub/OnBoard/pull/587
586,dakshpasricha,submission,https://github.com/hackclub/OnBoard/pull/586
585,shubhayusinha,submission,https://github.com/hackclub/OnBoard/pull/585
584,CodeWithShreyans,"submission, the trail",https://github.com/hackclub/OnBoard/pull/584
582,RussianDraco,submission,https://github.com/hackclub/OnBoard/pull/582
581,Triq1,submission,https://github.com/hackclub/OnBoard/pull/581
580,SidharthBhatt,"submission, the trail",https://github.com/hackclub/OnBoard/pull/580
579,ishaan10x,"submission, the trail",https://github.com/hackclub/OnBoard/pull/579
578,Playedswag,submission,https://github.com/hackclub/OnBoard/pull/578
576,dhruvkumar011,submission,https://github.com/hackclub/OnBoard/pull/576
575,Richardsajdh,"submission, the trail",https://github.com/hackclub/OnBoard/pull/575
574,Wildbush76,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/574
571,NoahF15,"submission, the trail",https://github.com/hackclub/OnBoard/pull/571
570,Lucas4680,"submission, the trail",https://github.com/hackclub/OnBoard/pull/570
567,Dum-b,submission,https://github.com/hackclub/OnBoard/pull/567
565,deepnandi-tech,submission,https://github.com/hackclub/OnBoard/pull/565
564,BmvVikki,submission,https://github.com/hackclub/OnBoard/pull/564
563,evyCoding,"submission, the trail",https://github.com/hackclub/OnBoard/pull/563
561,agniv-the-marker,submission,https://github.com/hackclub/OnBoard/pull/561
560,Deetschoe,"submission, the trail",https://github.com/hackclub/OnBoard/pull/560
559,Wildbush76,submission,https://github.com/hackclub/OnBoard/pull/559
557,aaryavbehl,submission,https://github.com/hackclub/OnBoard/pull/557
556,lan1ern,submission,https://github.com/hackclub/OnBoard/pull/556
555,amirzzz23,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/555
552,Dongathan-Jong,submission,https://github.com/hackclub/OnBoard/pull/552
551,nikhilsmehta,submission,https://github.com/hackclub/OnBoard/pull/551
550,NitroBlaze20,submission,https://github.com/hackclub/OnBoard/pull/550
549,bhargavsardana,submission,https://github.com/hackclub/OnBoard/pull/549
548,angelaisthr,submission,https://github.com/hackclub/OnBoard/pull/548
547,Shaan-Duggal,submission,https://github.com/hackclub/OnBoard/pull/547
543,bowie-dev,submission,https://github.com/hackclub/OnBoard/pull/543
542,rajamandal0,submission,https://github.com/hackclub/OnBoard/pull/542
541,Rj2500,submission,https://github.com/hackclub/OnBoard/pull/541
540,arashsaifi,submission,https://github.com/hackclub/OnBoard/pull/540
536,spectralo,submission,https://github.com/hackclub/OnBoard/pull/536
535,TechN3o,submission,https://github.com/hackclub/OnBoard/pull/535
534,BlueZeeKing,submission,https://github.com/hackclub/OnBoard/pull/534
533,roy-rishi,submission,https://github.com/hackclub/OnBoard/pull/533
531,scooterthedev,submission,https://github.com/hackclub/OnBoard/pull/531
530,rivques,"submission, no hcb needed, the trail",https://github.com/hackclub/OnBoard/pull/530
529,AdaoH3,submission,https://github.com/hackclub/OnBoard/pull/529
527,APurbiya,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/527
525,lxsquid,submission,https://github.com/hackclub/OnBoard/pull/525
524,amirzzz23,submission,https://github.com/hackclub/OnBoard/pull/524
523,ABHCI15,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/523
522,davidtfromnc,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/522
521,Slowedcactus,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/521
520,ArnavDagar,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/520
519,kyleokun23,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/519
517,p-kancharla,submission,https://github.com/hackclub/OnBoard/pull/517
516,1933y,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/516
515,Qu-Tony-apcsa-fall2022,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/515
513,ethans0ng,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/513
512,RayYang1,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/512
511,arashsaifi,submission,https://github.com/hackclub/OnBoard/pull/511
509,sfousafouvnsadoufvdsauf,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/509
508,AgentLuigi,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/508
507,Eitan77,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/507
506,awessome13,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/506
505,DimiRrr,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/505
504,vivijayne,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/504
503,selinapan1,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/503
501,perneet-bhathal,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/501
500,mchuang413,submission,https://github.com/hackclub/OnBoard/pull/500
499,CarthyPoo,submission,https://github.com/hackclub/OnBoard/pull/499
497,Brian-Lee7,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/497
496,jonathanxue5,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/496
494,unvariant,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/494
493,jeyllii,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/493
491,Wi11iamYuan,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/491
490,Mik1k,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/490
489,bloobglob,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/489
488,tlcrack,submission,https://github.com/hackclub/OnBoard/pull/488
483,karsteny,submission,https://github.com/hackclub/OnBoard/pull/483
482,logicalbots,submission,https://github.com/hackclub/OnBoard/pull/482
480,charleszh5639,"submission, sd workshop",https://github.com/hackclub/OnBoard/pull/480
479,fellettigiacomo,submission,https://github.com/hackclub/OnBoard/pull/479
478,Dng1273,submission,https://github.com/hackclub/OnBoard/pull/478
476,Alecsis,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/476
474,rstenlund,submission,https://github.com/hackclub/OnBoard/pull/474
471,radeeyate,submission,https://github.com/hackclub/OnBoard/pull/471
469,DefaultBanda,submission,https://github.com/hackclub/OnBoard/pull/469
468,blazecoding2009,submission,https://github.com/hackclub/OnBoard/pull/468
467,ScapularSteam,submission,https://github.com/hackclub/OnBoard/pull/467
462,krishveersk,submission,https://github.com/hackclub/OnBoard/pull/462
456,gitcomit8,submission,https://github.com/hackclub/OnBoard/pull/456
454,Mahanth-07,submission,https://github.com/hackclub/OnBoard/pull/454
453,PilliSiddharth,submission,https://github.com/hackclub/OnBoard/pull/453
452,elberto22,submission,https://github.com/hackclub/OnBoard/pull/452
451,juan-gonzalez6,submission,https://github.com/hackclub/OnBoard/pull/451
450,AriM224,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/450
449,gitcomit8,submission,https://github.com/hackclub/OnBoard/pull/449
448,EliasDuck,submission,https://github.com/hackclub/OnBoard/pull/448
447,mikeymascatu,submission,https://github.com/hackclub/OnBoard/pull/447
446,SangTNguyen2,submission,https://github.com/hackclub/OnBoard/pull/446
444,shubhmitsharma,submission,https://github.com/hackclub/OnBoard/pull/444
442,Jckoneal,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/442
440,davidtfromnc,submission,https://github.com/hackclub/OnBoard/pull/440
438,Alecsis,submission,https://github.com/hackclub/OnBoard/pull/438
437,CodeSakshamY,submission,https://github.com/hackclub/OnBoard/pull/437
436,voidsshadows,submission,https://github.com/hackclub/OnBoard/pull/436
434,The-A44,submission,https://github.com/hackclub/OnBoard/pull/434
433,ItsAkshatSh,submission,https://github.com/hackclub/OnBoard/pull/433
430,ANG13T,submission,https://github.com/hackclub/OnBoard/pull/430
